"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Behavior Modifier 1","Interval Channel 1 Behavior Modifier 2","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Weather_15","Question: Temperature_11","Question: Humidity_14","Question: Respiration Rate: average of 3 coun_16","Question: Ear Temperature_20","Question: Body Temperature_21","Question: Forearm Temperature_22"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:26:04","2022-04-03","09:26:04","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","1","Activity","OOS","","","","","","","4","7","4, 7","238","399","238, 399","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:26:20","2022-04-03","09:26:20","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","2","Activity","OOS","","","","","","","5","7","5, 7","273","407","273, 407","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:26:52","2022-04-03","09:26:52","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","4","Activity","OOS","","","","","","","3","7","3, 7","168","419","168, 419","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:27:08","2022-04-03","09:27:08","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","5","Activity","OOS","","","","","","","1","9","1, 9","44","500","44, 500","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:27:24","2022-04-03","09:27:24","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","6","Activity","OOS","","","","","","","10","7","10, 7","548","387","548, 387","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:27:40","2022-04-03","09:27:40","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","7","Activity","OOS","","","","","","","9","7","9, 7","522","413","522, 413","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:27:56","2022-04-03","09:27:56","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","8","Activity","OOS","","","","","","","9","7","9, 7","538","398","538, 398","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:28:12","2022-04-03","09:28:12","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","9","Activity","Pentapedal","","","","","","","8","7","8, 7","472","380","472, 380","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:28:28","2022-04-03","09:28:28","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","10","Activity","Still and Alert","","","","","","","5","4","5, 4","283","207","283, 207","Cloudy","27","99","98","1","1","1"
"121","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-04-03 09:25:48","2022-04-03 09:25:48","2022-04-03 09:31:00","2022-04-03 09:28:44","2022-04-03","09:28:44","2022","4","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","11","Activity","Bipedal","","","","","","","5","4","5, 4","274","185","274, 185","Cloudy","27","99","98","1","1","1"
